tweet_id	date	time	lang	country_code
1354293895853731840	2021-01-27	05:03:20	fr	NULL
1354294036492783618	2021-01-27	05:03:54	fr	NULL
1354294048031461376	2021-01-27	05:03:57	fr	NULL
1354294134249545728	2021-01-27	05:04:17	fr	NULL
1354294174330331137	2021-01-27	05:04:27	fr	NULL
1354294219700129792	2021-01-27	05:04:38	fr	NULL
1354294287631081472	2021-01-27	05:04:54	fr	NULL
1354294323693535232	2021-01-27	05:05:02	fr	NULL
1354294416660258816	2021-01-27	05:05:25	fr	NULL
1354294528283467778	2021-01-27	05:05:51	fr	NULL
1354294587708342274	2021-01-27	05:06:05	fr	NULL
1354294589516095495	2021-01-27	05:06:06	fr	NULL
1354294607794888709	2021-01-27	05:06:10	fr	NULL
1354294626639863809	2021-01-27	05:06:15	fr	NULL
1354294724593647617	2021-01-27	05:06:38	fr	NULL
1354294739416342533	2021-01-27	05:06:42	fr	NULL
1354294744537591810	2021-01-27	05:06:43	fr	NULL
1354294783037075458	2021-01-27	05:06:52	fr	NULL
1354294784198926337	2021-01-27	05:06:52	fr	NULL
1354294832898965504	2021-01-27	05:07:04	fr	NULL
1354294927228870656	2021-01-27	05:07:26	fr	NULL
1354294931758706688	2021-01-27	05:07:27	fr	NULL
1354294938637197315	2021-01-27	05:07:29	fr	NULL
1354294967217385474	2021-01-27	05:07:36	fr	NULL
1354294968517599241	2021-01-27	05:07:36	fr	NULL
1354295003011543041	2021-01-27	05:07:44	fr	NULL
1354295080174067712	2021-01-27	05:08:03	fr	NULL
1354295119067762691	2021-01-27	05:08:12	fr	NULL
1354295136033927169	2021-01-27	05:08:16	fr	NULL
1354295218720354306	2021-01-27	05:08:36	fr	NULL
1354295261783318528	2021-01-27	05:08:46	fr	NULL
1354295273959419907	2021-01-27	05:08:49	fr	NULL
1354295321237606400	2021-01-27	05:09:00	fr	NULL
1354295364732514308	2021-01-27	05:09:11	fr	NULL
1354295416708337664	2021-01-27	05:09:23	fr	NULL
1354295432571219968	2021-01-27	05:09:27	fr	NULL
1354295574313529344	2021-01-27	05:10:01	fr	NULL
1354295596115488768	2021-01-27	05:10:06	fr	NULL
1354295648347107328	2021-01-27	05:10:18	fr	NULL
1354295697504260097	2021-01-27	05:10:30	fr	NULL
1354295925791993857	2021-01-27	05:11:24	fr	NULL
1354295939503165443	2021-01-27	05:11:28	fr	NULL
1354295989880893444	2021-01-27	05:11:40	fr	NULL
1354296040095174657	2021-01-27	05:11:52	fr	NULL